value,count,timestamp,column,id
"IL MEC-14-490, OCCUPY 8FT OF THE FLOODING PARKING LANE AT ALL TIME. DO NOT BLOCK BIKE LANE. MATERIAL &amp; EQUIPMENT ON ROADWAY &amp; SIDEWALK.",6,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"DB-INSTALLATION OF FLOOD BARRIER SYSTEM. INSTALLATION MUST MEET THE REQUIREMENTS OF M.O.U. DATED JUNE 12, 2017. IN AREAS OF EXISTING TREES/TREE PITS, MUST MAINTAIN A MINIMUM 4-FOOT CLEAR PATH ON THE SIDEWALK FOR PEDESTRIANS. IN ALL OTHER LOCATIONS, MUST MAINTAIN A MINIMUM 5-FOOT CLEAR PATH FOR PEDESTRIANS.",6,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
TEST- FLOOD MITIGATION--- MUST MAINTAIN A MINIMUM 15FT CLEAR ROADWAY AT ALL TIMES,5,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
CB; WORK RELATED TO FLOOD MITIGATION.,5,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MJ; DOB 04/01/17; INSTALL NEW FLOOD GATE AND ROOF RAIL,5,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"VA MEDICAL --FLOOD WALL INSTALLATION--MEC14-523.. MAINTAIN 2X10FT MOVING LANES FOR TRAFFIC(ONE IN EACH DIRECTION) AS PER RESTRIPING PLAN. MUST PROVIDE A MINIMUM OF 4 CERTIFIED LAGGERS TO ASSIST PEDESTRIANS (1 ON EACH SIDE OF THE CRANE, ON EACH SIDEWALK).",4,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MJ NTP FINAL COMPLETION 07/18/16; SANDY FLOOD ELIMINATION WORK,4,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SA; WORK RELATED TO FLOOD MITIGATION.,4,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
GS OCCUPY FLOODING PARKING LANE ONLY.MUST COORDINATE W/ONGOING CONSTRUCTION BEFORE MOBILIZING.,3,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SA/ TO INSTALL MCVs (FLOOD DOORS) ONLY.,3,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
GS -PED. WALKWAY IN THE BIKE LANE AND THE BIKE LANE IS NEXT TO THE FLOODING PARKING LANE. MATERIAL IN THE FLOODING PARKING LANE FOR 60FT ONLY.. DAYLIGHT CORNER.,3,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MAINTAIN A MINIMUM 1-12FT LANE FOR TRAFFIC AT ALL TIMES. MUST COORDINATE WITH THE ON-GOING 55 WATER STREET FLOOD BARRIER CONSTRUCTION PROJECT PRIOR TO WORK. MUST MAINTAIN STIPULATION OCMC95 AT ALL TIMES.,3,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
CB; WORK RELATED TO FLOOD MITIGATION.__WORK SAT,3,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
WW; WORK RELATED TO FLOOD MITIGATION AS PER QEC-03,2,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
FLOODA SCHOOL HIQA01 NOISE1; AS PER QEC-12-113/,2,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
FS/GS- MUST COORDINATE WITH ANY ONGOING CONSTRUCTION PRIOR TO MOBILIZING.PED. WALKWAY IN THE BIKE LANE AND THE BIKE LANE IS NEXT TO THE FLOODING PARKING LANE. MATERIAL IN THE FLOODING PARKING LANE FOR 60FT ONLY.. DAYLIGHT CORNER. WORK SAT AND SUN 8AM-4PM.MUST COORIDNATE WITH THE RESTAURANT BEFORE MOBILIZING.,2,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
WORK 7PM-6AM NIGHTLY. MUST COORDINATE WITH THE 55 WATER STREET FLOOD BARRIER PROJECT PRIOR TO WORK. RESTORE SIDEWALK TO NYC DOT LOWER MANHATTAN PIGMENTED CONCRETE STANDARD. FULL FLAG RESTORATION REQUIRED. FULL WIDTH OF SIDEWALK TO BE RE-OPENED AT THE END  OF EACH WORK DAY. FL/FH,2,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
WW; WORK RELATED TO FLOOD MITIGATION,2,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"IL MEC-14-490, OCCUPY 8FT OF THE FLOODING PARKING LANE AT ALL TIME. DO NOT BLOCK BIKE LANE. MATERIAL AND EQUIPMENT ON ROADWAY AND SIDEWALK. FS PROVIDE FLAGGERS TO MANAGE CONFLICT BETWEEN PEDESTRIANS AND CYCLISTS. FS USE 102 ONLY FOR BPP5 WORK DUE TO TRAFFIC  VOLUME DURING DAYTIME.",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SA; WORK RELATED TO FLOOD MITIGATION.__WORK SAT,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"IL MEC-14-490, OCCUPY 8FT OF THE FLOODING PARKING LANE AT ALL TIME. DO NOT BLOCK BIKE LANE. MATERIAL &amp; EQUIPMENT ON ROADWAY &amp; SIDEWALK. FS PROVIDE FLAGGERS TO MANAGE CONFLICT BETWEEN PEDESTRIANS AND CYCLISTS.",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"This meeting is scheduled to discuss: 161 Front Street - Flood Barrier Mitigation Review Details for meeting are as follows: Monday, March 28, 2016 Time: 1:00 PM Location: 59 Maiden Lane (37th Floor), Large Conference Room *NOTE: All projects must come  prepared to the meetings with detailed drawings and outline of the project. Details should depict measurements, sidewalk use, roadway use, and the actual roadway that is being worked on including cross street, barrier, flagger, materials and equipment proposed  to use at the site. A knowledgeable person of the project must make the presentation. If you are not prepared, the meeting will immediately be cancelled and rescheduled for a later date. RESTORE SIDEWALK AND ROADWAY IAW NYC DOT HIGHWAY RULES AND REGULATIONS,  LMBCO PIGMENTED STANDARDS. FULL FLAG RESTORATION. RESTORE FULL WIDTH OF THE SIDEWALK AND ROADWAY UPON THE COMPLETION OF THE PROJECT. AJ",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"TL/ Refer to stip sheet CEC-15-516. Conex boxes are not allowed on city streets and city sidewalks at any time. 41st Ave between 12th and 21st streets: Must provide 2 min. 11-foot wide lanes, one in each direction at all times. Do not block buses from loading and unloading. Access to adjacent properties must be maintained at all times, and must provide min. 5’ wide walkway on sidewalks at all times. Knuckleboom is used for installation of mechanical devices for subway ventilation bays on sidewalks in conjunction with provide 5’ pedestrian walkway on sidewalk in conjunction furnish &amp; install flood protection devices along 41st Ave.",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
GS REVOCABLE CONSENT LICENSE FOR INSTALL OF FLOOD,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
FLOOD MITIGATION - MAINTAIN TIGER DAM ON ROADWAY AND SIDEWLK. IF AN EMERGENCY IS NOT DECLARED BY NYCGOV BY 6AM MONDAY MORNING THEN THE PERMITTEE MUST PROVIDE A MINIMUM OF (4 FLAGMEN- 1 AT EACH CORNER AND 1 AT EACH END OF FRONTAGE) TO DIRECT AND USHER PEDESTRIANS  AS NEEDED. LEND LEASE / NYULMC MUST SUBMIT AN MPT TO THE OCMC OFFICE FOR REVIEW NO LATER THAN 10/9/2015 REFLECTING ONGOING CONSTRUCTION AND PROPER MEASURES FOR PEDESTRIAN PROTECTION. CALL JBUCCHERI TO DISCUSS 9179926107,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
FLOOD MITIGATION - MAINTAIN TIGER DAM ON ROADWAY AND SIDEWLK. IF AN EMERGENCY IS NOT DECLARED BY NYCGOV BY 6AM MONDAY MORNING THEN THE PERMITTEE MUST PROVIDE A MINIMUM OF (4 FLAGMEN- 1 AT EACH CORNER AND 1 AT EACH END OF FRONTAGE) TO DIRECT AND USHER PEDESTRIANS  AS NEEDED.,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"DB-STORAGE FOR INSTALLATION OF FLOOD BARRIER SYSTEM. MAXIMUM OF 25 LINEAR FEET, 8FT ADJACENT TO THE NORTH CURB. DO NOT PLACE IN NO STANDING ANYTIME ZONE.",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"DB-STORAGE FOR INSTALLATION OF FLOOD BARRIER SYSTEM. MAXIMUM OF 25 LINEAR FEET, 8FT ADJACENT TO THE CURB.",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
CB; WORK RELATED TO FLOOD MITIGATION,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
WORK 7PM-6AM NIGHTLY. MUST COORDINATE WITH THE ONGOING 55 WATER ST FLOOD BARRIERS WORK PRIOR TO WORK. RESTORE SIDEWALK TO NYC DOT LOWER MANHATTAN PIGMENTED CONCRETE STANDARD. FULL FLAG RESTORATION REQUIRED. USE OF A HOE RAM OR EXCAVATOR/ BACK HOE BUCKET  TO BREAK CONCRETE SIDEWALK IS PROHIBITED. ~FL,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SA; WORK RELATED TO FLOOD MITIGATION,1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"IL MEC-14-490, OCCUPY 8FT OF THE FLOODING PARKING LANE AT ALL TIME. DO NOT BLOCK BIKE LANE. MATERIAL AND EQUIPMENT ON ROADWAY AND SIDEWALK. FS USE 102 ONLY FOR BPP5 WORK DUE TO TRAFFIC VOLUME DURING DAYTIME.",1,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SURF AVE. BET. W. 5TH ST. AND SEA BREEZE AVE. - FLOOD WALL CONST. AT NY AQUARIUM,29,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
FLOOD WALL CONST. AT NY AQUARIUM,23,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
Installation of new storm sewer to alleviate flooding,11,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
FLOOD WALL CONSTRUCTION AT NY AQUARIUM,9,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOOD REST 917 480 6245,4,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED RESTORATION 347 229 7759,3,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOOD REST. 917 480 6245,3,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED 917 942 9280,2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
152 HENDRIX ST. IFLOOD 917 480 6245,2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
Partial roadway closing on Old Slip (8') for use in transportation of material for the erection of Flood Barrier on Water Street and Vietnam Plaza,2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOOD RESTORATION 917 480 6245,2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
INSTALL HESCO FLOOD BARRIERS ON SIDEWALK (114 linear ft.),2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
INSTALL HESCO FLOOD BARRIERS ON SIDEWALK (450 linear ft.),2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
INSTALL HESCO FLOOD BARRIERS ON SIDEWALK (90 linear ft.),2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
Partial 8' Roadway Closing for erection of Flood Barrier wall in Vietnam Memorial Plaza,2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
FLOODED RESTORATION,2,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOOD BRADLY 347 229 7759,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED 347 2297759 BRAD,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOODED 917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED- 917 480 6245/718 309 2581,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED_917 480 6245 ALEX,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOODED REST. 917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED RESTAURATION 585 200 0263,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOODED RESTOR. 929 404 1643,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED RESTORATION,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED RESTORATION 917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOODED RESTORATION 917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
I FLOODED RESTRATION- 917 480 6245/718 309 2581,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOOD REST. 347 229 7759,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOOD REST 917 942 9280,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
JOE FLOOD BILL 214 536 0865,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
Partial Sidewalk closing on water street for erection of Flood Barrier wall,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
WATER FLOODING SIDEWALK STREET AND PROPERTY,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
WATER LEAK FROM MAIN IS FLOODING THE BASEMENT,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
WATER REPAIR CAUSING FLOODING OF BASEMENT,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
WATER SERVICE BROKE INSIDE BUILDING AND FLOODING B ASEMENT,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
12'' broken water main flooding building,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
"YORK, RAYMOND R FLOOD, AND JAMES F CLARK",1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
152 HENDRIX ST. IFLOOD REST. 917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
152 HENDRIX ST. IFLOOD REST917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
152 HNDRIX ST. IFLOOD 917 480 6245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
1626 SEDGWICH AVE IFLOOD 347 229 7759,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
2187 FREDRICK BLVD JOE FLOODED 214 5360865,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
2187 FREDRICK BLVD JOE FLOODED 214 536 0865,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
3 DAY NOTICE ISSUED FOR BROKEN LEAKING WATER MAIN FLOODING OUT THE BASEMENT/ 154-04 NORTHERN BLVD.,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
62/66 ELTON STREET IFLOODED 585 200 0263,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
62/66 ELTON STREET IFLOOD REST. 585 200 0263,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
78-09/78-11 101 AVE IFLOOD REST. 917 480 4245,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
Construction of New Storm Sewers to alleviate flooding,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
D.E.P. 3 DAY NOTICE. FLOODING,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
FLOODING,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
FLOODING VACANT BUILDING,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
IFLOOD 516 253 8113,1,2024-12-29 20:03:31,permitlocationcomments,c9sj-fmsg
"Installation of Sanitary and Storm Sewers, Floodwall, Floodgates",562,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Ext. masonry, Prpts, Roof, Flood Elim, TUC rem &amp; plygrrnd",318,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
FURNISH AND INSTALL FLOOD PROTECTION DEVICES AT VARIOUS NYCT FACILITIES TO INCLUDE STAGING AREA AND CONSTRUCTION SIGNS,279,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Ext Masory, Flood Elim, Roofs,Windows",240,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Prpts, Etx. Masonry, Flood Elim, Security Light",156,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"PS148k - Flood Elim, Ext Masonry, Parapets",154,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
MTA Contract: TUN-MIT-01: Design-Build for Flood Mitigation at the Hugh L. Carey Tunnel and Queens Midtown Tunnel - Manhattan,143,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
DEPLOY / INSTALL FOLDABLE FLOOD BARRIER,134,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
148th Street Yard Flood Mitigation,132,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Furnishing and installing Flood Barriers,129,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Flood Elim, Parapets, Roofs",110,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Contract C-34839 Flood Mitigation at the 148th Street Yard,108,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Ext. Masonry, Flood Elim, Prpts, Roofs",96,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Water Infiltration, Flood Elim",96,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Flood Mitigation / Resiliency at Fan Plant,96,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Contract A-37612 Furnishing &amp; Installing Flood Protection Devices-,90,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
installing flood barriers,88,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Installation of flood mitigation measures around WTC Site,84,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"roof, Flood Elim, windows, FA",84,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Intalling flood barriers,73,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Masonry, Parapet, Flood Elim, FA",72,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
Furnishing and Installing Flood Barriers,70,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"MTA contract- install flood barrier, marine doors,elevator flood glazing,glex gate stair cover,water tight manholes,MH closure devise",68,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Sandy - fire alarm, elevator upgrade, flood elim",67,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
"Ext Masonry, parapets, roofs, flood elim",66,2024-12-29 20:03:42,permitpurposecomments,c9sj-fmsg
